STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2019,,5.2,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2020,,6.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2021,,5.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2022,,4.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2023,,4.3,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,BG,Bulgaria,2024,,4.2,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2015,,4.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2016,,5.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2017,,4.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2018,,4.7,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2019,,4.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2020,,4.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2021,,5.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2022,,4.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2023,,4.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CH,Switzerland,2024,,4.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2015,,15.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2016,,13.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2017,,11.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2018,,8.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2019,,7.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2020,,7.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2021,,7.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2022,,6.3,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2023,,5.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CY,Cyprus,2024,,4.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2015,,5.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2016,,4.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2017,,2.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2018,,2.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2019,,2.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2020,,2.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2021,,2.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2022,,2.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2023,,2.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,CZ,Czechia,2024,,2.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2015,,4.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2016,,3.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2017,,3.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2018,,3.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2019,,2.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2020,,3.6,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2021,,3.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2022,,3.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2023,,3.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DE,Germany,2024,,3.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2015,,6.3,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2016,,6.0,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2017,,5.8,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2018,,5.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2019,,5.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2020,,5.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2021,,5.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2022,,4.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2023,,5.1,,b,break in time series,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,DK,Denmark,2024,,6.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2015,,11.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2016,,10.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2017,,9.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2018,,8.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2019,,7.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2020,,8.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2021,,7.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2022,,6.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2023,,6.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EA20,Euro area – 20 countries (from 2023),2024,,6.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2015,,6.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2016,,6.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2017,,5.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2018,,5.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2019,,4.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2020,,6.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2021,,6.2,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2022,,5.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2023,,6.4,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EE,Estonia,2024,,7.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2015,,25.0,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2016,,23.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2017,,21.8,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2018,,19.7,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2019,,17.9,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2020,,17.6,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2021,,14.7,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2022,,12.5,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2023,,11.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,EL,Greece,2024,,10.1,,,,,
dataflow,ESTAT:UNE_RT_A$DEFAULTVIEW(1.0),Unemployment by sex and age - annual data,A,Annual,Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,ES,Spain,2015,,22.1,,,,,
